fproceso,subdepto,qfabrica,pares,vcestil,requiere,meta,ndepto
25/04/2017,"CORTE",2,311,"1525",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,402,"18312",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,99,"18318",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,103,"20081",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,42,"30221",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,82,"30222",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,200,"10303",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,220,"11077",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,10,"1525",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,100,"18299",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,390,"18312",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,240,"18314",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,240,"2052",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,189,"30222",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,382,"8043",T,4000,"CCLICKEN"
27/04/2017,"CORTE",2,24,"10708",T,4000,"CCLICKEN"
27/04/2017,"CORTE",2,413,"11077",T,4000,"CCLICKEN"
27/04/2017,"CORTE",2,200,"18314",T,4000,"CCLICKEN"
27/04/2017,"CORTE",2,186,"20081",T,4000,"CCLICKEN"
27/04/2017,"CORTE",2,10,"8043",T,4000,"CCLICKEN"
27/04/2017,"CORTE",2,200,"8060",T,4000,"CCLICKEN"
28/04/2017,"CORTE",2,181,"10303",T,4000,"CCLICKEN"
28/04/2017,"CORTE",2,166,"11077",T,4000,"CCLICKEN"
28/04/2017,"CORTE",2,221,"11974",T,4000,"CCLICKEN"
28/04/2017,"CORTE",2,99,"18299",T,4000,"CCLICKEN"
28/04/2017,"CORTE",2,123,"20021",T,4000,"CCLICKEN"
29/04/2017,"CORTE",2,200,"10300",T,2000,"CCLICKEN"
29/04/2017,"CORTE",2,19,"10303",T,2000,"CCLICKEN"
29/04/2017,"CORTE",2,175,"1525",T,2000,"CCLICKEN"
29/04/2017,"CORTE",2,153,"30221",T,2000,"CCLICKEN"
02/05/2017,"CORTE",2,300,"10302",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,34,"11571",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,487,"1525",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,199,"1645",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,200,"18298",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,78,"18303",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,423,"18312",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,250,"2052",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,66,"30222",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,250,"550",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,382,"8043",T,4000,"CCLICKEN"
02/05/2017,"CORTE",2,200,"8060",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,640,"11077",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,425,"18312",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,214,"9167",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,300,"9169",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,57,"P5020",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,57,"P5021",T,4000,"CCLICKEN"
03/05/2017,"CORTE",2,33,"P5042",T,4000,"CCLICKEN"
06/04/2017,"CORTE",3,8,"10302",T,0,"CPUENTE"
06/04/2017,"CORTE",3,500,"18311",T,0,"CPUENTE"
06/04/2017,"CORTE",3,342,"40074",T,0,"CPUENTE"
06/04/2017,"CORTE",3,60,"40803",T,0,"CPUENTE"
07/04/2017,"CORTE",3,10,"10552",T,0,"CPUENTE"
07/04/2017,"CORTE",3,200,"14076",T,0,"CPUENTE"
07/04/2017,"CORTE",3,184,"18303",T,0,"CPUENTE"
07/04/2017,"CORTE",3,41,"18311",T,0,"CPUENTE"
07/04/2017,"CORTE",3,48,"30093",T,0,"CPUENTE"
07/04/2017,"CORTE",3,124,"40074",T,0,"CPUENTE"
07/04/2017,"CORTE",3,250,"554",T,0,"CPUENTE"
17/04/2017,"CORTE",3,6,"1525",T,0,"CPUENTE"
17/04/2017,"CORTE",3,259,"18311",T,0,"CPUENTE"
17/04/2017,"CORTE",3,12,"30022",T,0,"CPUENTE"
17/04/2017,"CORTE",3,35,"60253",T,0,"CPUENTE"
17/04/2017,"CORTE",3,113,"75015",T,0,"CPUENTE"
17/04/2017,"CORTE",3,196,"8044",T,0,"CPUENTE"
17/04/2017,"CORTE",3,198,"95082",T,0,"CPUENTE"
18/04/2017,"CORTE",3,860,"10673",T,0,"CPUENTE"
18/04/2017,"CORTE",3,42,"12647",T,0,"CPUENTE"
18/04/2017,"CORTE",3,22,"75015",T,0,"CPUENTE"
19/04/2017,"CORTE",3,10,"10300",T,0,"CPUENTE"
19/04/2017,"CORTE",3,1022,"10673",T,0,"CPUENTE"
19/04/2017,"CORTE",3,400,"18320",T,0,"CPUENTE"
20/04/2017,"CORTE",3,196,"14076",T,0,"CPUENTE"
20/04/2017,"CORTE",3,325,"40074",T,0,"CPUENTE"
21/04/2017,"CORTE",3,30,"10556",T,0,"CPUENTE"
21/04/2017,"CORTE",3,933,"10673",T,0,"CPUENTE"
21/04/2017,"CORTE",3,9,"1645",T,0,"CPUENTE"
21/04/2017,"CORTE",3,420,"40074",T,0,"CPUENTE"
22/04/2017,"CORTE",3,161,"1645",T,0,"CPUENTE"
24/04/2017,"CORTE",3,178,"14076",T,0,"CPUENTE"
24/04/2017,"CORTE",3,24,"18311",T,0,"CPUENTE"
24/04/2017,"CORTE",3,16,"20021",T,0,"CPUENTE"
24/04/2017,"CORTE",3,46,"20081",T,0,"CPUENTE"
24/04/2017,"CORTE",3,364,"30221",T,0,"CPUENTE"
24/04/2017,"CORTE",3,248,"40074",T,0,"CPUENTE"
24/04/2017,"CORTE",3,26,"50011",T,0,"CPUENTE"
26/04/2017,"CORTE",3,1245,"12647",T,0,"CPUENTE"
27/04/2017,"CORTE",3,830,"10673",T,0,"CPUENTE"
28/04/2017,"CORTE",3,25,"11974",T,0,"CPUENTE"
28/04/2017,"CORTE",3,10,"20021",T,0,"CPUENTE"
28/04/2017,"CORTE",3,200,"8044",T,0,"CPUENTE"
29/04/2017,"CORTE",3,383,"18320",T,0,"CPUENTE"
29/04/2017,"CORTE",3,474,"30022",T,0,"CPUENTE"
29/04/2017,"CORTE",3,150,"783",T,0,"CPUENTE"
02/05/2017,"CORTE",3,188,"14076",T,0,"CPUENTE"
02/05/2017,"CORTE",3,200,"18314",T,0,"CPUENTE"
02/05/2017,"CORTE",3,100,"554",T,0,"CPUENTE"
03/05/2017,"CORTE",3,417,"12647",T,0,"CPUENTE"
03/05/2017,"CORTE",3,213,"60253",T,0,"CPUENTE"
03/05/2017,"CORTE",3,362,"75015",T,0,"CPUENTE"
06/04/2017,"CORTE",4,26,"10552",T,0,"CFLASH"
06/04/2017,"CORTE",4,313,"10673",T,0,"CFLASH"
06/04/2017,"CORTE",4,12,"10699",T,0,"CFLASH"
06/04/2017,"CORTE",4,138,"10709",T,0,"CFLASH"
06/04/2017,"CORTE",4,134,"11123",T,0,"CFLASH"
06/04/2017,"CORTE",4,36,"11932",T,0,"CFLASH"
06/04/2017,"CORTE",4,67,"13904",T,0,"CFLASH"
06/04/2017,"CORTE",4,20,"13906",T,0,"CFLASH"
06/04/2017,"CORTE",4,24,"30093",T,0,"CFLASH"
06/04/2017,"CORTE",4,104,"30245",T,0,"CFLASH"
06/04/2017,"CORTE",4,13,"40074",T,0,"CFLASH"
06/04/2017,"CORTE",4,288,"60251",T,0,"CFLASH"
06/04/2017,"CORTE",4,36,"90078",T,0,"CFLASH"
06/04/2017,"CORTE",4,108,"90081",T,0,"CFLASH"
06/04/2017,"CORTE",4,64,"90084",T,0,"CFLASH"
06/04/2017,"CORTE",4,44,"95081",T,0,"CFLASH"
06/04/2017,"CORTE",4,22,"95082",T,0,"CFLASH"
07/04/2017,"CORTE",4,100,"11932",T,0,"CFLASH"
07/04/2017,"CORTE",4,262,"1525",T,0,"CFLASH"
07/04/2017,"CORTE",4,68,"40801",T,0,"CFLASH"
07/04/2017,"CORTE",4,8,"90084",T,0,"CFLASH"
08/04/2017,"CORTE",4,250,"1525",T,0,"CFLASH"
08/04/2017,"CORTE",4,11,"40801",T,0,"CFLASH"
17/04/2017,"CORTE",4,238,"10554",T,0,"CFLASH"
17/04/2017,"CORTE",4,612,"10709",T,0,"CFLASH"
17/04/2017,"CORTE",4,19,"11123",T,0,"CFLASH"
17/04/2017,"CORTE",4,64,"30092",T,0,"CFLASH"
17/04/2017,"CORTE",4,63,"40801",T,0,"CFLASH"
18/04/2017,"CORTE",4,49,"10552",T,0,"CFLASH"
18/04/2017,"CORTE",4,48,"10554",T,0,"CFLASH"
18/04/2017,"CORTE",4,20,"10700",T,0,"CFLASH"
18/04/2017,"CORTE",4,117,"11123",T,0,"CFLASH"
18/04/2017,"CORTE",4,12,"11571",T,0,"CFLASH"
18/04/2017,"CORTE",4,61,"13584",T,0,"CFLASH"
18/04/2017,"CORTE",4,39,"18311",T,0,"CFLASH"
18/04/2017,"CORTE",4,78,"30093",T,0,"CFLASH"
18/04/2017,"CORTE",4,74,"40071",T,0,"CFLASH"
18/04/2017,"CORTE",4,12,"40802",T,0,"CFLASH"
18/04/2017,"CORTE",4,14,"50011",T,0,"CFLASH"
18/04/2017,"CORTE",4,1035,"60251",T,0,"CFLASH"
18/04/2017,"CORTE",4,36,"90081",T,0,"CFLASH"
18/04/2017,"CORTE",4,28,"90083",T,0,"CFLASH"
18/04/2017,"CORTE",4,108,"95042",T,0,"CFLASH"
19/04/2017,"CORTE",4,10,"10700",T,0,"CFLASH"
19/04/2017,"CORTE",4,24,"90081",T,0,"CFLASH"
20/04/2017,"CORTE",4,611,"10556",T,0,"CFLASH"
20/04/2017,"CORTE",4,890,"10673",T,0,"CFLASH"
20/04/2017,"CORTE",4,60,"10693",T,0,"CFLASH"
20/04/2017,"CORTE",4,36,"11933",T,0,"CFLASH"
20/04/2017,"CORTE",4,72,"12161",T,0,"CFLASH"
20/04/2017,"CORTE",4,56,"12647",T,0,"CFLASH"
20/04/2017,"CORTE",4,49,"18312",T,0,"CFLASH"
20/04/2017,"CORTE",4,114,"30022",T,0,"CFLASH"
20/04/2017,"CORTE",4,70,"75015",T,0,"CFLASH"
20/04/2017,"CORTE",4,42,"95081",T,0,"CFLASH"
21/04/2017,"CORTE",4,682,"10556",T,0,"CFLASH"
21/04/2017,"CORTE",4,15,"1645",T,0,"CFLASH"
21/04/2017,"CORTE",4,361,"50011",T,0,"CFLASH"
22/04/2017,"CORTE",4,905,"75015",T,0,"CFLASH"
24/04/2017,"CORTE",4,37,"10554",T,0,"CFLASH"
24/04/2017,"CORTE",4,88,"10556",T,0,"CFLASH"
24/04/2017,"CORTE",4,606,"10673",T,0,"CFLASH"
24/04/2017,"CORTE",4,357,"10693",T,0,"CFLASH"
24/04/2017,"CORTE",4,559,"75015",T,0,"CFLASH"
24/04/2017,"CORTE",4,50,"90081",T,0,"CFLASH"
25/04/2017,"CORTE",4,211,"10556",T,0,"CFLASH"
25/04/2017,"CORTE",4,156,"10699",T,0,"CFLASH"
25/04/2017,"CORTE",4,322,"11932",T,0,"CFLASH"
26/04/2017,"CORTE",4,1185,"10554",T,0,"CFLASH"
27/04/2017,"CORTE",4,66,"10709",T,0,"CFLASH"
27/04/2017,"CORTE",4,901,"11123",T,0,"CFLASH"
27/04/2017,"CORTE",4,604,"60251",T,0,"CFLASH"
27/04/2017,"CORTE",4,269,"90081",T,0,"CFLASH"
27/04/2017,"CORTE",4,168,"90083",T,0,"CFLASH"
28/04/2017,"CORTE",4,174,"10551",T,0,"CFLASH"
28/04/2017,"CORTE",4,200,"10552",T,0,"CFLASH"
28/04/2017,"CORTE",4,21,"11077",T,0,"CFLASH"
28/04/2017,"CORTE",4,12,"11974",T,0,"CFLASH"
28/04/2017,"CORTE",4,170,"12984",T,0,"CFLASH"
28/04/2017,"CORTE",4,18,"20003",T,0,"CFLASH"
28/04/2017,"CORTE",4,9,"20021",T,0,"CFLASH"
28/04/2017,"CORTE",4,10,"20081",T,0,"CFLASH"
28/04/2017,"CORTE",4,124,"30093",T,0,"CFLASH"
28/04/2017,"CORTE",4,52,"40801",T,0,"CFLASH"
29/04/2017,"CORTE",4,44,"10551",T,0,"CFLASH"
29/04/2017,"CORTE",4,40,"10552",T,0,"CFLASH"
29/04/2017,"CORTE",4,244,"11131",T,0,"CFLASH"
29/04/2017,"CORTE",4,168,"13584",T,0,"CFLASH"
29/04/2017,"CORTE",4,37,"1525",T,0,"CFLASH"
29/04/2017,"CORTE",4,18,"20003",T,0,"CFLASH"
29/04/2017,"CORTE",4,10,"30093",T,0,"CFLASH"
29/04/2017,"CORTE",4,11,"30221",T,0,"CFLASH"
29/04/2017,"CORTE",4,32,"40801",T,0,"CFLASH"
29/04/2017,"CORTE",4,332,"50013",T,0,"CFLASH"
29/04/2017,"CORTE",4,241,"95042",T,0,"CFLASH"
29/04/2017,"CORTE",4,150,"95081",T,0,"CFLASH"
02/05/2017,"CORTE",4,170,"10554",T,0,"CFLASH"
02/05/2017,"CORTE",4,783,"10673",T,0,"CFLASH"
02/05/2017,"CORTE",4,36,"12647",T,0,"CFLASH"
02/05/2017,"CORTE",4,36,"60251",T,0,"CFLASH"
02/05/2017,"CORTE",4,19,"75015",T,0,"CFLASH"
02/05/2017,"CORTE",4,46,"90081",T,0,"CFLASH"
02/05/2017,"CORTE",4,39,"95081",T,0,"CFLASH"
03/05/2017,"CORTE",4,540,"10556",T,0,"CFLASH"
03/05/2017,"CORTE",4,871,"10673",T,0,"CFLASH"
03/05/2017,"CORTE",4,21,"13275",T,0,"CFLASH"
03/05/2017,"CORTE",4,54,"P5121",T,0,"CFLASH"
06/04/2017,"FAMILIA",1,437,"10673",T,850,"FAMILIA1"
06/04/2017,"FAMILIA",1,138,"10709",T,850,"FAMILIA1"
06/04/2017,"FAMILIA",1,131,"11123",T,850,"FAMILIA1"
06/04/2017,"FAMILIA",1,7,"11571",T,850,"FAMILIA1"
06/04/2017,"FAMILIA",1,83,"60251",T,850,"FAMILIA1"
